1 1 1 120.00000000000001 
2 1 1 174.0 
2 2 1 456.0 
2 2 2 912.0 
3 2 1 414.0 
3 2 2 944.0 
3 3 1 528.0 
3 3 2 1152.0000000000002 
3 3 3 1200.0 
4 2 2 1302.0 
4 3 1 738.0 
4 3 2 1824.0 
4 3 3 2088.0 
4 4 1 1560.0 
4 4 2 2976.0 
4 4 3 3312.0 
4 4 4 5688.0 
5 3 2 1694.0 
5 3 3 2640.0 
5 4 1 1350.0000000000002 
5 4 2 4008.0 
5 4 3 4536.0 
5 4 4 7296.0 
5 5 1 2712.0 
5 5 2 5304.0 
5 5 3 5928.0 
5 5 4 9864.0 
5 5 5 12960.0 
6 3 3 1818.0 
6 4 2 2670.0 
6 4 3 4752.0 
6 4 4 7896.0 
6 5 1 1950.0 
6 5 2 5640.0 
6 5 3 6336.0 
6 5 4 10584.0 
6 5 5 13776.0 
6 6 1 3192.0 
6 6 2 6048.0 
6 6 3 6672.0 
6 6 4 11136.0 
6 6 5 15024.0 
6 6 6 15792.000000000002 
7 4 3 3186.0 
7 4 4 9144.0 
7 5 2 4430.0 
7 5 3 7368.0 
7 5 4 12048.0 
7 5 5 16152.0 
7 6 1 2634.0 
7 6 2 7032.0 
7 6 3 7968.0 
7 6 4 12912.0 
7 6 5 17232.000000000004 
7 6 6 18504.0 
7 7 1 4224.0 
7 7 2 8112.0 
7 7 3 8784.0 
7 7 4 15240.0 
7 7 5 19920.000000000004 
7 7 6 21072.0 
7 7 7 24744.0 
8 4 4 5634.0 
8 5 3 5357.999999999999 
8 5 4 13488.0 
8 5 5 17832.0 
8 6 2 5766.0 
8 6 3 8651.999999999998 
8 6 4 14520.0 
8 6 5 19152.000000000004 
8 6 6 20568.0 
8 7 1 3426.0 
8 7 2 9072.0 
8 7 3 10320.0 
8 7 4 16584.0 
8 7 5 22152.0 
8 7 6 24024.0 
8 7 7 27336.0 
8 8 1 5160.0 
8 8 2 10200.0 
8 8 3 11255.999999999998 
8 8 4 18576.0 
8 8 5 25008.0 
8 8 6 25944.0 
8 8 7 30768.0 
8 8 8 34272.0 
9 5 4 9870.0 
9 5 5 23736.0 
9 6 3 7590.0 
9 6 4 19056.0 
9 6 5 25368.0 
9 6 6 27168.0 
9 7 2 8102.0 
9 7 3 13344.0 
9 7 4 22392.0 
9 7 5 29592.0 
9 7 6 31392.0 
